"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Outdoor Patio Storage","Default Category/Products","120","Yes","outdoor-patio-storage","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Patio Furniture Clearance","Default Category/Products","132","Yes","patio-furniture-clearance","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Patio Sets","Default Category/Products","133","Yes","patio-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Patio Wicker Furniture","Default Category/Products","134","Yes","patio-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Sectionals","Default Category/Products","146","Yes","sectionals","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Seating","Default Category/Products","145","Yes","seating","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Rocking Chairs","Default Category/Products","144","Yes","rocking-chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Resort Collections","Default Category/Products","143","Yes","resort-collections","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Resin Wicker","Default Category/Products","142","Yes","resin-wicker","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Resin Rattan","Default Category/Products","141","Yes","resin-rattan","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Recycled Plastic Wicker","Default Category/Products","140","Yes","recycled-plastic-wicker","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Recycled Plastic","Default Category/Products","139","Yes","recycled-plastic","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Rattan Sunroom","Default Category/Products","138","Yes","rattan-sunroom","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Ratan Outdoor Furniture","Default Category/Products","137","Yes","ratan-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Porch Furniture","Default Category/Products","136","Yes","porch-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Pool Furniture","Default Category/Products","135","Yes","pool-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Patio Furniture Sets","Default Category/Products","119","Yes","outdoor-patio-furniture-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Deck Furniture","Default Category/Products","177","Yes","wicker-deck-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Woven Wicker Vinyl","Default Category/Products","235","Yes","woven-wicker-vinyl","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Rocking Chairs","Default Category/Products","219","Yes","wicker-rocking-chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Resort Collections","Default Category/Products","218","Yes","wicker-resort-collections","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Porch Swings","Default Category/Products","217","Yes","wicker-porch-swings","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Porch Furniture","Default Category/Products","216","Yes","wicker-porch-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker Pool Furniture","Default Category/Products","215","Yes","wicker-pool-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
