"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Nautical Wicker Furniture","Default Category/Products","101","Yes","nautical-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Nautical Furniture","Default Category/Products","100","Yes","nautical-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Modular Seating","Default Category/Products","99","Yes","modular-seating","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Modular Furniture","Default Category/Products","98","Yes","modular-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Modern Wicker Patio Furniture","Default Category/Products","97","Yes","modern-wicker-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Modern Wicker Furniture","Default Category/Products","96","Yes","modern-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Modern Sofas","Default Category/Products","95","Yes","modern-sofas","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Modern Patio Furniture","Default Category/Products","94","Yes","modern-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Modern Outdoor Furniture","Default Category/Products","93","Yes","modern-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Modern Furniture","Default Category/Products","92","Yes","modern-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Luxury Wicker Outdoor Furniture","Default Category/Products","91","Yes","luxury-wicker-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Luxury Outdoor Furniture","Default Category/Products","90","Yes","luxury-outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Occasionals","Default Category/Products","102","Yes","occasionals","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Balcony Furniture","Default Category/Products","103","Yes","outdoor-balcony-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Balcony Patio Sets","Default Category/Products","104","Yes","outdoor-balcony-patio-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Patio Furniture Covers","Default Category/Products","116","Yes","outdoor-patio-furniture-covers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Patio Furniture Collections","Default Category/Products","115","Yes","outdoor-patio-furniture-collections","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Patio Furniture","Default Category/Products","114","Yes","outdoor-patio-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Modular Furniture","Default Category/Products","113","Yes","outdoor-modular-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Living","Default Category/Products","112","Yes","outdoor-living","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Furniture Retailers","Default Category/Products","111","Yes","outdoor-furniture-retailers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Furniture Collections","Default Category/Products","110","Yes","outdoor-furniture-collections","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Furniture Clearance","Default Category/Products","109","Yes","outdoor-furniture-clearance","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Furniture","Default Category/Products","108","Yes","outdoor-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Essentials","Default Category/Products","107","Yes","outdoor-essentials","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor End Tables","Default Category/Products","106","Yes","outdoor-end-tables","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Outdoor Chairs","Default Category/Products","105","Yes","outdoor-chairs","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Lounge Furniture","Default Category/Products","89","Yes","lounge-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Lawn Furniture","Default Category/Products","88","Yes","lawn-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Online","Default Category/Products","72","Yes","furniture-online","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Manufacturers","Default Category/Products","71","Yes","furniture-manufacturers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture for Sale","Default Category/Products","70","Yes","furniture-for-sale","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Direct","Default Category/Products","69","Yes","furniture-direct","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Covers","Default Category/Products","68","Yes","furniture-covers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Collections","Default Category/Products","67","Yes","furniture-collections","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Clearance","Default Category/Products","66","Yes","furniture-clearance","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture","Default Category/Products","65","Yes","furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Footrests","Default Category/Products","64","Yes","footrests","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Fine Wicker Furniture","Default Category/Products","63","Yes","fine-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Fine Furniture","Default Category/Products","62","Yes","fine-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Faux Wicker","Default Category/Products","61","Yes","faux-wicker","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Outlet","Default Category/Products","73","Yes","furniture-outlet","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Retailers","Default Category/Products","74","Yes","furniture-retailers","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Sales","Default Category/Products","75","Yes","furniture-sales","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Lawn and Garden","Default Category/Products","87","Yes","lawn-and-garden","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Inexpensive Wicker Furniture","Default Category/Products","86","Yes","inexpensive-wicker-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Inexpensive Furniture","Default Category/Products","85","Yes","inexpensive-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Gazebos","Default Category/Products","84","Yes","gazebos","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Garden Furniture","Default Category/Products","83","Yes","garden-furniture","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture World","Default Category/Products","82","Yes","furniture-world","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Warehouse","Default Category/Products","81","Yes","furniture-warehouse","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Store","Default Category/Products","80","Yes","furniture-store","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Sets","Default Category/Products","79","Yes","furniture-sets","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Set of 8","Default Category/Products","78","Yes","furniture-set-of-8","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Set of 6","Default Category/Products","77","Yes","furniture-set-of-6","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Furniture Set of 4","Default Category/Products","76","Yes","furniture-set-of-4","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Faux Rattan","Default Category/Products","60","Yes","faux-rattan","","","","","","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
