sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
A64H74-03,,Default,simple,Products/Loungers,"Default Category",base,,,,"2014-06-07 18:02:55",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,1,no_selection,,,,,,"Rattan Outdoor Furniture Brighton Sling Chaise Lounge",,1700.0000,"Use config","Use config","Chaise Lounge Beta","2014-04-24 00:00:00","2014-05-01 00:00:00","Block after Info Column",,849.0000,1,"The Brighton Collection",no_selection,,"2014-04-24 00:00:00",,,1,2,no_selection,,"2014-06-08 12:37:21",brighton-sling-chaise-lounge-beta,brighton-sling-chaise-lounge-beta-5,4,250.0000,22.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,drop_down,color,1,,,0,1,peach,,#FF0000,1
,,,,"Products/Bar Sets","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pink,,#00FF00,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,#0000FF,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,pink,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,blue,,,
A64H74-04,,Default,simple,,,base,,,,"2014-06-07 18:02:55",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 3 Piece Bistro Set",,1701.0000,"Use config","Use config","3 Piece Bistro Set","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,850.0000,0,"The Brighton Collection",,,"2014-04-25 00:00:00",,,1,2,,,"2014-06-07 18:03:31",3-piece-bistro-set,3-piece-bistro-set,4,251.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-05,,Default,simple,,,base,,,,"2014-06-07 18:02:55",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 3 Piece Dining Set",,1702.0000,"Use config","Use config","3 Piece Dining Set","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,851.0000,0,"The Brighton Collection",,,"2014-04-26 00:00:00",,,1,2,,,"2014-06-07 18:03:31",3-piece-dining-set,3-piece-dining-set,4,252.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-06,,Default,simple,,,base,,,,"2014-06-07 18:02:55",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 3 Piece Sectional ",,1702.0000,"Use config","Use config","3 Piece Sectional ","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,851.0000,0,"The Brighton Collection",,,"2014-04-26 00:00:00",,,1,2,,,"2014-06-07 18:03:31",3-piece-sectional,3-piece-sectional,4,252.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-07,,Default,simple,,,base,,,,"2014-06-07 18:02:55",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 3 Piece Sofa Set",,1703.0000,"Use config","Use config","3 Piece Sofa Set","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,852.0000,0,"The Brighton Collection",,,"2014-04-27 00:00:00",,,1,2,,,"2014-06-07 18:03:31",3-piece-sofa-set,3-piece-sofa-set,4,253.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-08,,Default,simple,,,base,,,,"2014-06-07 18:02:55",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 4 Piece Bar Set",,1703.0000,"Use config","Use config","4 Piece Bar Set","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,852.0000,0,"The Brighton Collection",,,"2014-04-27 00:00:00",,,1,2,,,"2014-06-07 18:03:31",4-piece-bar-set,4-piece-bar-set,4,253.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-09,,Default,simple,,,base,,,,"2014-06-07 18:02:55",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 4 Piece Sectional ",,1704.0000,"Use config","Use config","4 Piece Sectional ","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,853.0000,0,"The Brighton Collection",,,"2014-04-28 00:00:00",,,1,2,,,"2014-06-07 18:03:31",4-piece-sectional,4-piece-sectional,4,254.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-10,,Default,simple,,,base,,,,"2014-06-07 18:02:56",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 4 Piece Sofa Set",,1704.0000,"Use config","Use config","4 Piece Sofa Set","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,853.0000,0,"The Brighton Collection",,,"2014-04-28 00:00:00",,,1,2,,,"2014-06-07 18:03:31",4-piece-sofa-set,4-piece-sofa-set,4,254.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-11,,Default,simple,,,base,,,,"2014-06-07 18:02:56",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 5 Piece Bar Set",,1705.0000,"Use config","Use config","5 Piece Bar Set","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,854.0000,0,"The Brighton Collection",,,"2014-04-29 00:00:00",,,1,2,,,"2014-06-07 18:03:31",5-piece-bar-set,5-piece-bar-set,4,255.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-12,,Default,simple,,,base,,,,"2014-06-07 18:02:56",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 5 Piece Bistro Set",,1705.0000,"Use config","Use config","5 Piece Bistro Set","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,854.0000,0,"The Brighton Collection",,,"2014-04-29 00:00:00",,,1,2,,,"2014-06-07 18:03:31",5-piece-bistro-set,5-piece-bistro-set,4,255.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A64H74-13,,Default,simple,,,base,,,,"2014-06-07 18:02:56",,,,,"<p>Rattan Outdoor Furniture&rsquo;s Bringhton outdoor patio chaise lounge brings ultimate luxury and incredible durability with this one-of-a-kind uniquely fashioned outdoor patio chaise lounge. Our Bringhton collection features all-weather, powder-coated alumunium framing covered in Rehau, a UV-resistant and weather-resistant resin wicker. See how beautiful our high-resilience (HR) ultra-plush cushioning wrapped in Allure fabric feels, resisting color fading and seasonal mildew to keep your outdoor patio chaise lounge looking like new for years to come.</p>
<ul>
<li>Product Overview</li>
<li>Dimensions:186 x 68 x 58</li>
<li>Features: Adjustable back, hand-woven</li>
<li>Cushion material: Polyester fiber; 100%</li>
<li>Allure fabric is made out of Olefin 100%, UV and mildew-resistant</li>
<li>Reversible zippered cushions with contrasting welting</li>
<li>Rehau woven wicker on rust-proof alumunium frame</li>
<li>1-year limited manufacturer warranty</li>
<li>Weight capacity: 250.0 Lbs</li>
<li>Imported</li>
</ul>",,,0,,,,,,,"Rattan Outdoor Furniture Brighton 5 Piece Dining Set",,1706.0000,"Use config","Use config","5 Piece Dining Set","2014-07-01 00:00:00","2014-07-31 00:00:00","Block after Info Column",,855.0000,0,"The Brighton Collection",,,"2014-04-30 00:00:00",,,1,2,,,"2014-06-07 18:03:31",5-piece-dining-set,5-piece-dining-set,4,256.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
